,title,company,location,industry,description,seniority,employment_type,functions
3,Data Scientist/Architect,Parsable,"425 2nd Street , San Francisco, CA 94107, CA 94107, US","Information,Technology,Services","About the Role Parsable is looking for our first data architect/scientist to join our team. Being able to answer the 1000s of questions our customers are asking themselves about productivity, safety, efficiency and more should be your passion. As the first member of the data science team, you should be a self starter that enjoys a fast paced environment where your passion and dedication will make an immediate impact. Master’s degree in computer science, statistics or mathematics with focus on data mining (PhD a plus) Experience with architecting data models to support large data storage and retrieval Experience with SQL, R or Python and data visualization tools such as SuperSet or Tableau Experience with ElasticSearch, Apache Kafka. Apache Spark, Apache Hadoop, Redis Experience with data processing, transformation, cleaning and data warehousing techniques",Mid-Senior level,Full-time,"

              Analyst
 
"
4,Data Scientist/Applied Researcher,eBay,"San Jose, CA",Internet,"Looking for a company that encourages passion, courage and imagination, where you can be part of the team crafting the future of global commerce? Want to craft how millions of people buy, sell, connect, and share around the world? If you’re passionate about joining a purpose driven community that is dedicated to creating an ambitious and inclusive workplace, join eBay &ndash; a company you can be proud to be a part of.You Are:PhD or Masters in Computer Science or related technical field with 5+ years of experience working on search ranking and machine learning.Well versed in areas such as applied statistics, machine learning, natural language processing, and data mining.A leader. You have years of experience mentoring junior researchers and developing a concept to a product.Proficient with distributed systems like Hadoop and SPARK. You’re not necessarily an expert, but you have experience processing large datasets in such frameworks.A polyglot programmer. You probably have a favorite language like Scala, Python or R but you can jump in and write some Java or C as needed.Results oriented. Research is phenomenal but at the end of the day you want to see your creation live and breathe.Join the Search Science team at eBay!You will:Be directly responsible for improving search recall and ranking via query understanding and machine learned ranking models that power the end-end search experience at eBay.Showcase the spectrum of value in the world’s most diverse ecommerce inventory, by improving whole page relevance, query recommendations, spell corrections, synonym/acronym expansions, and query rewrites.Conceptualize, code, deploy, and iterate on designs from prototypes all the way through to production systems.Analyze petabytes of real-world behavioral data to understand patterns and trends.Transform data insights into actionable reports, targeting algorithms, and model features.Provide technical leadership in statistical analysis, data mining, machine learning, NLP, and information retrieval.Work jointly with architecture, engineering, quality engineering, and operations teams to deliver complex applications.Focus on our biggest opportunities in search, convert them into applied science problem statements, and then develop end-to-end solutions.Directly see the results of your applied research improving and powering the experience of eBay’s core search platform across the globe.",Mid-Senior level,Full-time,"

              Engineering
 
"
0,"Data Scientist, Marketing",Ancestry,"San Francisco, CA, US","Computer,Software,Internet","Job DescriptionAncestry is growing its Data Science team globally. We’re looking for a Data Scientist to join us in our San Francisco office. In this role, the individual will be mainly focused on supporting our marketing organization in solving problems concerning marketing optimization, customer journey, contact strategy, marketing mix modeling, etc.The new hire will be a member of the global Data Science & Machine Learning Team, tackling our toughest and most exciting data science challenges.Key ResponsibilitiesUse data science to drive innovations in areas such as marketing optimization, customer journey modeling, causal inference and contact strategyApply statistics, clustering, and modeling to extract business insightsHelp champion a data-driven culture and push long-term business value creation through development of best-in-class data science capabilitiesLeverage data mining, statistics, and/or machine learning to increase value across our businessWrite high quality code and work with engineers to deploy models in productionQualificationsM.S. or Ph.D. in Statistics, Mathematics, Computer Science or other related fields2+ years of working experience as a data scientist Expert in statistical causal inference modelingGood level of experience with machine learning modelingHighly skilled at translating business requirements from key stakeholders into research problemsVery strong communication skillsProven track record of completing multiple data science projects end to end, from idea generation to objectives formulation to implementation and deliverablesFluency in Python or RFluency in SQLExperience with SPARK is a big plusExperience with cloud computing is a big plusExperience in Scala or Java is a plusExcellent written and oral communication skillsAdditional InformationAncestry is a profitable, growing company with a positive, high-energy environment. Together, our dedicated teams are harnessing the power of technology and using it to simplify the way people connect with their families and their unique legacies. Our work environment is fast-paced and challenging, but also extremely exciting. You’ll work with a team of passionate, engaged individuals. We offer excellent benefits and a competitive compensation package. For additional information, regarding our benefits and career information, please visit our website at http//ancestry.com/careersAncestry is not accepting unsolicited assistance from search firms for this employment opportunity. All resumes submitted by search firms to any employee at Ancestry via-email, the Internet or in any form and/or method without a valid written search agreement in place for this position will be deemed the sole property of Ancestry. No fee will be paid in the event the candidate is hired by Ancestry as a result of the referral or through other means.Ancestry is an Equal Opportunity Employer that makes employment decisions without regard to race, color, religious creed (including religious dress and grooming practices), national origin, ancestry, sex (including pregnancy, childbirth, breastfeeding, and medical conditions related thereto), sexual orientation, gender, gender identity and expression, age (40 and older), mental or physical disability (including HIV and AIDS), medical condition (cancer and genetic characteristics), veteran status, citizenship, marital status, genetic information, or any other basis that is prohibited by applicable law. The Company also makes reasonable accommodations to applicants or employees with qualifying disabilities who request them and who otherwise meet the requirements of applicable law. If you would like to request an accommodation during the application process, please contact our Director of Recruiting.All job offers are contingent on a background check screen that complies with applicable law. For San Francisco office candidates, Ancestry will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of San Francisco's Fair Chance Ordinance.IND2",Not Applicable,Full-time,"

              Engineering
 

              Information Technology
 
"
1,Data Engineer,Amazon Lab126,"Sunnyvale, CA, US","Computer,Software,Information,Technology,Services,Internet","Job DescriptionAmazon Lab126 is an inventive research and development company that designs and engineers high-profile consumer electronics. Lab126 began in 2004 as a subsidiary of Amazon.com, Inc., originally creating the best-selling Kindle family of products. Since then, we have produced groundbreaking devices like Fire tablets, Fire TV, Fire phone, and Amazon Echo. What will you help us create?Work hard. Have fun. Make history.The RoleWe are seeking a talented, self-directed Data Engineer to design, develop, implement, test, document, and operate large-scale, high-volume, high-performance data structures for our internal customers. Implement data structures using best practices in data modeling and ETL/ELT processes. Gather business and functional requirements and translate these requirements into robust, scalable, operable solutions that work well within the overall data architecture. Analyze source data systems and drive best practices in source teams. Participate in the full development life cycle, end-to-end, from design, implementation and testing, to documentation, delivery, support, and maintenance. Produce comprehensive, usable dataset documentation and metadata. Evaluate and make decisions around dataset implementations designed and proposed by peer data engineers. Evaluate and make decisions around the use of new or existing software products and tools. Mentor junior data engineers.The ideal candidate relishes working with large volumes of data, enjoys the challenge of highly complex technical contexts, and, above all else, is passionate about data and analytics. He/she is an expert with data modeling, ETL design and business intelligence tools and passionately partners with the business to identify strategic opportunities where improvements in data infrastructure creates outsized business impact. He/she is a self-starter, comfortable with ambiguity, able to think big (while paying careful attention to detail) and enjoys working in a fast-paced team. The ideal candidate needs to possess exceptional technical expertise in large scale data warehouse and BI systems with hands-on knowledge on SQL, Distributed/MPP data storage, and AWS services (S3, Redshift, EMR, RDS).Specifically, the Data Engineer willDesign, implement, and support a platform providing ad hoc access to large datasetsInterface with other technology teams to extract, transform, and load data from a wide variety of data sources using SQLImplement data structures using best practices in data modeling, ETL/ELT processes, and SQL, and RedshiftBuild robust and scalable data integration (ETL) pipelines using SQL, Python and SparkBuild and deliver high quality datasets to support business analysis and customer reporting needsInterface with business customers, gathering requirements and delivering complete data structuresBasic QualificationsBachelor's degree in Computer Science, Computer Engineering, Business Administration, Mathematics or a related field3+ years of industry experience as a Data Engineer or related specialty (e.g., Business Intelligence Engineer, Data Scientist)Experience in data modeling, ETL development, and Data warehousing.Data Warehousing Experience with Oracle, Redshift, Teradata, etc.Experience providing technical leadership and mentor other engineers for the best practices on the data engineering spaceExperience in continually improve ongoing reporting and analysis processes, automating or simplifying self-service support for customersExperience building data products incrementally and integrating and managing datasets from multiple sourcesExperience building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data setsPreferred QualificationsExperience leveraging Python, R or Matlab to manipulate data and set up automated processes as per business requirementsExperience with Big Data Technologies (Hadoop, Hive, Hbase, Pig, Spark, etc.)Experience leading large-scale data warehousing and analytics projects, including using AWS technologies – Redshift, S3, EC2, Data-pipeline and other big data technologiesStrong ability to interact, communicate, present and influence within multiple levels of the organizationTrack record of manipulating, processing, and extracting value from large datasetsExcellent communication skills to be able to work with business owners to develop and define key business questions and to build data sets that answer those questionsMaster's degreeAmazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual OrientationCompany - A2Z Development Center, Inc.Job ID: A686679",Not Applicable,Full-time,"

              Information Technology
 
"
2,"Data Scientist, Engineering",Snap Inc.,"Los Angeles, CA, US","Marketing,Advertising,Computer,Software,Internet","Snap Inc. is a camera company. We believe that reinventing the camera represents our greatest opportunity to improve the way people live and communicate. Our products empower people to express themselves, live in the moment, learn about the world, and have fun together.We’re looking for a Data Scientist to join Team Snap Inc.! Working closely alongside the engineering, product design and product management teams, you will enjoy creating inventive, data-based approaches to solving difficult business problems. Working from our Los Angeles or Mountain View, CA headquarters, you’ll work to transform business questions into data analysis.What You’ll DoPartner with Product and Engineering and apply your expertise in quantitative analysis to create and scale insightsCreate testable hypotheses, then test themEffectively report your insights via visualization and dashboards that you createHelp business and engineering partners make decisions based on dataMinimum QualificationsBA in math, statistics, computer science, or other quantitative field3+ years of experience in quantitative analysis & data science or a related fieldFluency in SQL or other big data querying languagePreferred QualificationsStrong statistical knowledgeMA degree in math, statistics, computer science, or other quantitative fieldExperience in a product-focused role at a social media and/or mobile technology companyExperience with analytical packages such as SciPy or RExperience with data pipeline workflow monitoring and scheduling platforms (e.g., Airflow)Experience with a programming language, such as PythonAbility to initiate and drive projects to completion with minimal guidanceAbility to communicate the results of analyses in a clear and effective manner to a senior audienceMachine learning skills At Snap, we believe that having a team of diverse backgrounds and voices working together will enable us to create innovative products that improve the way people live and communicate. Snap is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification, in accordance with applicable federal, state, and local laws. If you have a disability or special need that requires accommodation, please don’t be shy and contact us at .",Entry level,Full-time,"

              Engineering
 

              Information Technology
 
"
3,Data Analyst,SigFig,"San Francisco, CA, US","Computer,Software,Internet,Financial,Services","SigFig is tearing down the barriers to investing. We've raised $60 million to support our growth as the #1 Online Investment Advisor for large Financial Institutions. Help us define the next generation of investing!What You'll Be Doing Run business reporting, performance monitoring, automated alerts, partner-oriented data demands Support product, marketing, and other teams to execute data-focused projects Find, synthesize, and communicate insights from SigFig data to drive positive change Help implement AB tests, data dives, quantitative customer research Help prototype data products WE'RE LOOKING FOR SOMEONE WITH 2-3 years of related experience, degree in a quantitative discipline (Applied Math, CS, Ec, Stats, Finance, etc) Experience analyzing datasets using SQL, Python, R, Tableau, Julia, Spark, Stata, D3, Redash, etc Can write scripts implementing business logic for analysis and automation Good quantitative and statistical sense, good working knowledge of experimental design Loves learning new languages, interfaces, and approaches Get-things-done-well ethos: able to use smart approximations, or hack something together with scarce time and resources Ability to communicate effectively, share recommendations, generate practical results, and drive change Perks & Benefits Competitive compensation packages Medical, dental and vision benefits for employees and their dependents Flexible vacation policy with uncapped time off Catered lunches daily and a kitchen stocked full of drinks and snacks Fitness subsidy Commuter subsidy About SigFigSigFig is dedicated to making high-quality investment advice more accessible and affordable to investors of all wealth levels. Using a combination of design, data science, and technology, SigFig helps empower investors with the information and guidance they need to achieve their personal financial goals. Through partnerships with some of the world’s largest and most innovative financial institutions, SigFig seeks to help investors and advisors better manage their investments. Its enterprise technology accelerates time to market for its partners, while doing so in a secure, scalable, and compliant way. Its product, design, and growth labs fuel innovation, accelerate adoption, and create delight for clients.Founded in 2007, SigFig is backed by leading financial institutions including Eaton Vance, Comerica Bank, New York Life, Santander InnoVentures, and UBS, as well as top-tier venture capital firms, including Bain Capital Ventures, DCM Ventures, Nyca Partners, and Union Square Ventures. The company is headquartered in San Francisco, California. Learn more at www.sigfig.com.",Associate,Full-time,"

              Information Technology
 
"
4,"Data Scientist, Advertising",Houzz,"Palo Alto, CA, US","Computer,Software,Internet,Marketing,Advertising","About HouzzJoin Houzz in revolutionizing the home and remodeling industry and have an impact on over 40 million homeowners and 2 million professionals around the world. Frequently ranked as one of the top 10 most disruptive companies in the world and backed by marquee venture capitalists, Houzz will allow you to drive the future of an industry worth $1.2 trillion in the US and Europe alone.Our entrepreneurial culture and warm family atmosphere will surround you with a fun and dynamic work environment you will only find at Houzz.Position OverviewOur Data Scientists play a direct role in the direction of our company and are able to work across multiple groups to implement fresh ideas that allow Houzz to be the industry leader.Our mission is to provide Houzz with data driven insights. We are working on discovering information hidden in vast amounts of data to make intelligent business decisions and to deliver better products. Critical projects will focus on the ongoing development of statistical and machine learning models across all areas of Houzz, improving experiment and measurement systems, learning of data-driven insights to guide future product development and business direction.If you are interested in applying your passion to create products that will transform the lives of millions of users remodeling and decorating their homes and the professionals who serve them, please apply.ContributionsBuild advanced statistical and machine learning models to solve problems like customer lifetime value prediction, pricing optimization, marketing attribution, media mixing model, product ranking, inventory model, recommendation algorithm, user behavior forecasting, user experience personalization, etc.Provide data-driven insights to identify business opportunities, to drive changes across marketing, products and various operation teams, and ultimately to improve customer value and business metricsDefine key metrics to guide business decision makings, such as engagement and lifetime value tracking across various aspects of our siteDesign and conduct experiments, and conduct root cause analysisWork with data infrastructure / product engineering teams to define the data collection needs and to productionize statistical/machine learning modelsRequired Skills & ExperienceAdvanced degree in Statistics, Computer Science, Electrical Engineering, or similar fields3+ years full-time relevant industry experienceDeep understanding of statistics and/or machine learning methodsStrong programming skills in Python or RProficiency in SQL or willing to learnStrong communication, presentation and interpersonal skillsSelf-motivated, independent, and eager to learnDesired Skills & ExperienceExperience with inventory prediction and/or pricing models would be a strong plusTogether, we don’t just accept differences -- we celebrate, support, and thrive on inclusivity for the betterment of our products and our community.",Not Applicable,Full-time,"

              Strategy/Planning
 

              Analyst
 

              Information Technology
 
"
0,Data Engineer,University of San Francisco,"San Francisco, CA, US","Computer,Software","Data EngineerUniversity of San FranciscoJob Summary:The University of San Francisco collects vast amounts of data across its e-learning assets as well as its physical plant. Help us extract meaningful signal from this data by developing a world-class data warehouse, so we can bring data-driven improvement to student retention, operational efficiency, organizational management, and many other domains. The Department of Integrations & Analytics in the Information Technology Services Division is hiring a full-time Data Engineer to develop the University's data warehouse.Job Responsibilities:? Schema design and data modeling, especially dimensional modeling ? Writing and maintaining ETL pipelines from an array of diverse web applications ? Working with University staff and other stakeholders to identify and upload new data sources into the data warehouse ? Implementing health checks, tests, and other means to ensure the reliability of the data warehouse ? Working with S3, Redshift, and other AWS services ? Researching and understanding the complex datastores behind various higher education e-learning web applications ? Using a workflow scheduler like Airflow to manage the ETL pipelines ? Opportunity to expand into machine learning and predictive analytics ? Opportunity to take the data warehouse to the next level of scale with Hadoop, Spark, Kafka.Minimum Requirements: 2+ years experience in the role of data scientist/data engineer/data analyst Excellent SQL skills Excellent algorithm and programming skills (language isnt important) Bachelors or Masters Degree in computer science or related from a four-year university, or a degree in data engineering from a tech bootcamp, or equivalent experience Passion for working in higher education Experience using Git and working in a software team Experience with Linux command lineAdditional Knowledge, Skills, and Abilities:? Workday Certification ? Experience of other HR Technology tools. ? Experience and understanding of Human Resources data. ? Business, Process, and Data Analysis skills ? Excellent communication and interpersonal skills ? Good negotiation and facilitation skills ? Ability to work pro-actively and independently within a project frameworkFor information on how to apply, please visit the following link: www.usfjobs.comEEO PolicyThe University of San Francisco is an equal opportunity institution of higher education. As a matter of policy, the University does not discriminate in employment, educational services and academic programs on the basis of an individuals race, color, religion, religious creed, ancestry, national origin, age (except minors), sex, gender identity, sexual orientation, marital status, medical condition (cancer-related and genetic-related) and disability, and the other bases prohibited by law. The University reasonably accommodates qualified individuals with disabilities under the law.Copyright 2017 Jobelephant.com Inc. All rights reserved.Posted by the FREE value-added recruitment advertising agency jeid-d152a7a20b07a0448c25031d06f137f7",Associate,Full-time,"

              Information Technology
 
"
1,Data Analyst Supporting the FBI,FSA,"Norwalk, CA, US","Legal,Services,Government,Administration,Financial,Services","A Data Analyst Executes The Following DutiesFocused on delivering unsurpassed services in support of law enforcement and homeland security, FSA, a rapidly growing joint venture owned by trusted solutions providers Engility and AECOM, has a vacancy for a Data Analyst supporting the FBI. Provide organization and management of case filesReview data (completeness of information, proper execution)Extract data from data baseObtain additional information from other investigative agencies/data baseEstablish/maintain physical filePrepare notices/advertisementsReceive, suspense petitions, claims, process sharing requestsReconcile inconsistenciesPrepare declarationsGather information and organize investigative packageVerify case files and case tracking systemMaintain internal status information on the disposition of all forfeited assetsAssure information is accurate and perform analytical computations necessary to process dataConduct and reconcile inventoriesDistribute and receive documentsAssist lead analyst or official in obtaining/collecting all documents/information to complete case fileProvide administrative information and assistance concerning case to other investigative agencies, local law enforcement agencies, US Attorney, and other DOJ processing units, and higher headquartersExtract data from agency data base for management and program reportsPerform word processing relevant to case documentationPerform data entry relevant to case A Data Analyst May Perform The Following Additional Duties Provide analytical support to law enforcement investigations, with supervisionAssist in retrieving and reviewing data from multiple databases to produce analytic productsAssist in reviewing case information to establish relations between people, events, and organization Forfeiture Support Associates (FSA), LLC is proud to be an Affirmative Action/Equal Opportunity Employer. We recruit, employ, train, compensate, and promote qualified persons in all job titles without regard to age, ancestry, color, gender, HIV status, marital status, medical condition, national origin, physical or mental disability, race, religion, sex, sexual orientation (including gender expression and identity), veteran status, family leave status or any protected group status as defined by applicable law.",Associate,Full-time,"

              Information Technology
 
"
2,Senior Data Scientist,Airtime,"Palo Alto, California",Internet,"THE ROLE Work with our product team to uncover actionable insights from behavioral user data. Provide analytical and data support to research team for setting up research studies (e.g. analyzing user segments, pulling lists for surveys and qualitative user tests, etc.) Create analytics frameworks and set best practices globally, including development of tools and dashboards Create sophisticated custom visualizations from large datasets Build and maintain analytics data pipelines Help empower data-driven product and marketing efforts QUALIFICATIONS At least 4 years experience analyzing data for marketing and/or product teams.  Although academic experience is important, we are looking for those candidates who have industry experience post academia. Experience in digital marketing analytics at a mobile startup is preferred. BA/BS, MS, or Ph.D. in mathematics, statistics, computer science, or a quantitative discipline Proven track record and enthusiasm for complex problem solving and analysis, including working with large data sets Quantitative mindset, comfortable and proficient with statistical analyses Hands-on experience with visualization tools with expertise in building advanced custom visualizations in Power BI, Tableau and state of the art Data Viz frameworks ( D3.js, Processing.js,Raphael.js etc.) Hands-on experience with Python, R, Matlab, SQL, or other related analytical/programming tools and software Ability to communicate complex analytical insights in a simple, concise manner and to build strong relationships with marketing and product teams to effectively convert insights into action Comfortable and confident working as part of a face-paced, self-directed, dynamic team Experience with A/B Testing best practices and analysis NICE TO HAVES Knowledge of Statistics is key for this role Experience with Data dashboarding tools like Looker, Mixpanel etc. Experience with custom visualization tools like Power BI or Tableau Experience with custom visualization JS frameworks like D3, Raphael etc. Experience with NoSQL databases, such as Redshift, HBase, Cassandra, MongoDB Experience working with Amazon Web Services Experience with Recommendation systems and Are you in?",Mid-Senior level,Full-time,"

              Engineering
 
"
3,Data scientist (Python/Spark),TekisHub Consulting Services LLC,"San Francisco, CA, US","Information,Technology,Services,Computer,Software,Staffing,Recruiting","Job Title: Data Scientist Location: San Francisco, CA .Duration: Long Term .Minimum Required Skills: Spark, Python, Strong analytical and AI experienceRequired skills: Minimum 2 years of (Artificial Intelligence) experience Extensive experience on Spark. Experience on programming/scripting experience in Python Must be a good communicator. provided by Dice Artificial Intelligence,Spark,Python",Entry level,Full-time,"

              Engineering
 

              Information Technology
 
"
4,Biological Data Scientist / Statistician,Foresite Capital,"San Francisco, California","Venture,Capital,&,Private,Equity","Foresite Capital is a healthcare and life sciences investment firm with a multidisciplinary team of scientists, engineers, analysts, clinicians, subject matter experts, and specialists in various disciplines. We work together in a highly collaborative environment, with all investments getting attention from each member of our investment team. Roles at Foresite Capital offer exposure to multiple firms in the healthcare and life sciences industry, and the opportunity to collaborate with top-tier experts in the life sciences, data science and financial industries. We offer competitive salaries, excellent benefits, a flexible work environment, and the opportunity to learn from top thinkers in various disciplines. Foresite Capital is headquartered in San Francisco with satellite offices in New York, Philadelphia and San Rafael. If you’re a data scientist with a strong background in statistics and biology, let’s talk. Role Foresite Capital’s data science team are the company’s internal experts on the interface of biology and data science, engaging in applied research to advance the standard of biological data science, providing insights to drive the company's investment decisions, and collaborating with our portfolio companies. We develop methods and practices that set standards for rigor in the field, combining cutting-edge techniques with biological understanding and statistical rigor. We are looking for biologically-minded data scientists to bring their skills to our team. We offer a flexible work environment, a diverse set of projects, and a best-in-class peer group to learn from. This is a great opportunity to tackle a unique set of problems while shaping the future of healthcare. Responsibilities Analyze large-scale biological data to produce novel, high-confidence insights Collaborate with portfolio companies to solve core quantitative and scientific problems Evaluate potential investments through deep technical diligence Develop methods that combine cutting-edge machine learning techniques with deep statistical rigor Distribute tools and results through software and publications Qualifications PhD or equivalent in a quantitative field (e.g., statistics, computer science, computational biology, bioinformatics, or mathematics) 5-10 years of relevant work experience, including postdoctoral fellowships and relevant engagements outside of class work during PhD. Some industry experience preferred but not essential. Experience with statistical software (e.g., R, pandas, sklearn), scripting languages (e.g., Python), and database languages (e.g., SQL). Experience with C/C++ relevant but not essential. Applied experience with machine learning on biological datasets, including deep engagement with biological subject matter and validation. Experience with human genetics, functional genomics, and cellular phenotyping particularly relevant. Rigorous statistical intuition, deep understanding of core statistical principles, and extensive experience with core methods (e.g., linear regression, GLMs, dimensionality reduction, tree-based models, bootstrapping, maximum likelihood estimation, and Bayesian modeling) Track record of published collaborative research in biology or related fields preferred Foresite Capital is an equal opportunity employer. We thrive on diversity and collaboration.",Mid-Senior level,Full-time,"

              Engineering
 

              Science
 

              Research
 
"
0,Data Science Manager- Mobile Games,Pentasia,"Oakland, California","Gambling,&,Casinos,Online,Media","COME PLAY!!!Overview: Leading mobile gaming company is looking for an Analytics Manager to join their expanding team in the San Francisco Area! Responsibilities: This Analytics Manager will be responsible for managing a team of Data Analysts and Data Scientists to make the games as best as they can be for the players. Working with the Marketing and Product teams, this Manager will be responsible for new game feature implementations, marketing campaigns and understanding new and existing player behavior! Qualifications: 5+ years in the analytical space, with 3-5+ years of manager/lead experience Expert SQL knowledge, while working with high-volume, high-dimension data Experience with visualization tools and techniques, with experience in statistical packages like R, SPSS, and/or Python Next Steps: Do you want to lead a dynamic team within one of the most recognized mobile gaming companies? Send your CV along with you application and let's have a chat!",Associate,Full-time,"

              Analyst
 

              Business Development
 

              Marketing
 
"
1,"Manager of Data Science, Consumer Analytics",Chegg Inc.,"Santa Clara, CA, US","Computer,Software,E-Learning,Education,Management","DescriptionThe Analytics team is central to Chegg’s digital marketing efforts – we use data and analysis to support every business line and functional organization at the company. It is a team composed of data scientists, engineers, mathematicians, statisticians, and business analysts. We use a world-class set of data science and BI technologies to transform our data into insights and then into knowledge.Our Responsibilities Includepartnering with teams to measure and optimize marketing performance modeling customer behavior and lifetime value driversbuilding executive dashboards and helping drive self-serve analyticsmanaging and evolving our digital marketing technologydesigning and driving forward our customer data platformIn short, we are a diverse team of folk who absolutely love working with data to help Chegg deliver on our Student First mission.The role: Manager, Data Science, Consumer AnalyticsWe are looking for someone to help us accelerate our journey from Consumer Analytics to Consumer Science. We have a roadmap, and are looking for you to own, influence and accelerate this to drive the biggest business impact. You will manage a team that focusses on making us better at what we already do, testing key hypotheses underpinning our roadmap, and evolving that roadmap based on what you discover.The Manager, Data Science will primarily focus on improving our analyses and modeling that helps understand relationships between marketing initiatives, marketing KPIs and business KPIs. You will work with the marketing, product and business leads to guide decisions and prioritization based on scientific methods. You create and operationalize insights that help identify effective user acquisition strategies that helps maximize CLV. Working with other Analytics team members, you will balance multiple analytics efforts with several organizations, delivering insights with innovative problem solving methods.ResponsibilitiesBecome a trusted partner who provides expert advice in the usage and interpretation of data.Identify impactful opportunities to improve our analytical measurement approaches and shape the roadmap based on such learning to keep us moving forward.Evangelize and support scientific, measurement, based approaches. Partner with marketers to apply statistical rigor to their analyses and business recommendations.Support and design sophisticated experiments to test the validity of hypotheses. Use exploratory data analysis techniques to identify meaningful relationships, patterns, or trends from complex data sets.Collaborate with other analysts/data scientists and help guide the marketing acquisition/engagement strategy based on learning from other analyses/projects across the organization.Lead a small team of analysts/data scientists to empower marketing team to make their own decisions with data.Requirements 7+ years previous marketing analytics experience required.Master’s degree in a quantitative field (Sciences, Engineering, Economics, etc.)Experience leading a small team preferred. Marketing Analytics SkillsProficiency in web analytics platforms such as Google Analytics, Adobe Analytics or others.Familiarity with multi-channel attribution platforms (Convertro, VisualIQ, Adometry or Adobe Data Workbench).Experience in SEO analytics preferred.Analytical SkillsTop-decile data wrangling skills; strength in SQL, R, Python for data analysis, modelling and visualization.Experience working with big data platforms such as Hadoop and Hive, a plus.Extensive analytical toolset including an advanced understanding of statistics (time series analysis, cluster analysis, multivariate analysis).Experience with predictive modeling, forecasting, and segmentation analysis.Hands-on experience with BI tools such as Tableau, Domo, Qlikview, Looker.Self-motivated, independent, organized and proactive, highly responsive, flexible and adaptable when working across multiple teams.Passionate about producing high-quality analytics deliverables and communicating recommendations effectively to a broad audience. About CheggAs the leading student-first connected learning platform, Chegg's Student Hub makes higher education more affordable and more accessible, all while improving student outcomes. Chegg is a publicly-held company based in Santa Clara, California and trades on the NYSE under the symbol CHGG and has 900+ employees with offices in Santa Clara, San Francisco, Portland, New York, Provo, Atlanta, Israel, and Ukraine and trades on the NYSE under the symbol CHGG. Chegg Student Hub Services Include: Chegg Study, Chegg Tutoring, Careers Search, Internship Admissions, and College Admissions.Life at Chegg: https://www.youtube.com/watch?v=YYHnkwiD7OoChegg Benefits: http://www.chegg.com/jobs/benefitsChegg for Good: http://blog.chegg.com/category/chegg-for-good/Video Shorts - Life at Chegg: https://jobs.chegg.com/Video-Shorts-Chegg-ServicesCertified Great Place to Work!: http://reviews.greatplacetowork.com/cheggFor More Information: https://jobs.chegg.com/Chegg is an equal opportunity employer",Mid-Senior level,Full-time,"

              Analyst
 

              Engineering
 
"
